epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.001,1.53242,4.22103,1.65472,0.00201,0.61355,0.15519,0.11842,1.17734,4.6303,1.45501,0.00012861,0.00012861,0.00012861
2,261.499,1.28311,3.41959,1.4198,0.00261,0.8315,0.33227,0.23289,1.03362,4.18705,1.25431,0.000266134,0.000266134,0.000266134
3,377.953,1.27452,3.0269,1.44005,0.00286,0.92857,0.41815,0.2914,1.09259,4.10867,1.23753,0.000397999,0.000397999,0.000397999
4,496.234,1.27652,2.86849,1.40493,0.00291,0.95238,0.44587,0.33807,1.19982,4.05296,1.3802,0.000524206,0.000524206,0.000524206
5,612.028,1.18628,2.39954,1.26829,0.81625,0.07509,0.30166,0.20309,1.59764,4.46272,1.81941,0.000644753,0.000644753,0.000644753
6,727.968,1.28076,2.31962,1.32798,0.62891,0.07509,0.35359,0.19731,1.48294,4.18685,1.63964,0.000759642,0.000759642,0.000759642
7,839.297,1.27597,2.47922,1.39359,0.71225,0.30631,0.56863,0.29981,1.45054,3.73474,1.46666,0.000868872,0.000868872,0.000868872
8,958.25,1.3073,2.49149,1.37602,0.76018,0.39744,0.57273,0.35097,1.32073,3.60906,1.38297,0.000972443,0.000972443,0.000972443
9,1068.77,1.32424,2.33681,1.37163,0.68034,0.22161,0.39249,0.23647,1.69401,4.02912,1.64116,0.00107036,0.00107036,0.00107036
10,1180.08,1.25113,2.29122,1.34754,0.80438,0.37136,0.53367,0.34916,1.3081,3.14675,1.41973,0.00116261,0.00116261,0.00116261
11,1292.53,1.26496,2.26836,1.33075,0.6833,0.54029,0.60057,0.39294,1.32833,3.02674,1.44617,0.00114606,0.00114606,0.00114606
12,1401.33,1.29255,2.16575,1.34834,0.50624,0.52559,0.49141,0.33616,1.2502,2.99325,1.38966,0.00111776,0.00111776,0.00111776
13,1520.46,1.2852,2.1647,1.32025,0.78463,0.45646,0.58598,0.39194,1.29535,2.74847,1.37644,0.00108947,0.00108947,0.00108947
14,1629.16,1.2399,1.90947,1.32562,0.68535,0.5795,0.64821,0.39376,1.37772,2.77628,1.41865,0.00106118,0.00106118,0.00106118
